"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2023-09",37924,"TESSy COVID-19"
"Austria","AT","cases","2023-10",33257,"TESSy COVID-19"
"Austria","AT","cases","2023-11",27076,"TESSy COVID-19"
"Austria","AT","cases","2023-12",21252,"TESSy COVID-19"
"Austria","AT","cases","2023-13",13065,"TESSy COVID-19"
"Austria","AT","cases","2023-14",8979,"TESSy COVID-19"
"Austria","AT","cases","2023-15",7160,"TESSy COVID-19"
"Austria","AT","cases","2023-16",6588,"TESSy COVID-19"
"Austria","AT","cases","2023-17",5175,"TESSy COVID-19"
"Austria","AT","cases","2023-18",3629,"TESSy COVID-19"
"Austria","AT","cases","2023-19",2825,"TESSy COVID-19"
"Austria","AT","cases","2023-20",2219,"TESSy COVID-19"
"Austria","AT","cases","2023-21",2117,"TESSy COVID-19"
"Austria","AT","cases","2023-22",1412,"TESSy COVID-19"
"Austria","AT","cases","2023-23",1087,"TESSy COVID-19"
"Austria","AT","cases","2023-24",970,"TESSy COVID-19"
"Austria","AT","cases","2023-25",825,"TESSy COVID-19"
"Austria","AT","cases","2023-26",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-27",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-28",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-29",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-30",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-31",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-32",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-33",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-34",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-35",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-36",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-37",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-38",NA,"TESSy COVID-19"
"Austria","AT","cases","2023-39",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-01",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-02",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-03",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-04",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-05",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-06",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-07",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-08",NA,"TESSy COVID-19"
"Austria","AT","deaths","2020-09",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-10",0,"TESSy COVID-19"
"Austria","AT","deaths","2020-11",2,"TESSy COVID-19"
"Austria","AT","deaths","2020-12",30,"TESSy COVID-19"
"Austria","AT","deaths","2020-13",101,"TESSy COVID-19"
"Austria","AT","deaths","2020-14",126,"TESSy COVID-19"
"Austria","AT","deaths","2020-15",150,"TESSy COVID-19"
"Austria","AT","deaths","2020-16",120,"TESSy COVID-19"
"Austria","AT","deaths","2020-17",78,"TESSy COVID-19"
"Austria","AT","deaths","2020-18",51,"TESSy COVID-19"
"Austria","AT","deaths","2020-19",32,"TESSy COVID-19"
"Austria","AT","deaths","2020-20",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-21",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-22",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-23",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-24",15,"TESSy COVID-19"
"Austria","AT","deaths","2020-25",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-26",17,"TESSy COVID-19"
"Austria","AT","deaths","2020-27",9,"TESSy COVID-19"
"Austria","AT","deaths","2020-28",7,"TESSy COVID-19"
"Austria","AT","deaths","2020-29",10,"TESSy COVID-19"
